"figure_panel","scientific_owner_stage","owner_table","exported_by","permutation_id","seed","model_id","model_label","cv_scheme","performance_metric","performance_value","is_observed","n_permutations","row_role"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",77,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0286866445467313,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",78,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0312121940520966,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",79,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0344453017634678,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",80,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.00715700632008653,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",81,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0250627309998321,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",82,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0368473743555622,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",83,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0345724809698196,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",84,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0340229733381578,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",85,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0406048081547843,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",86,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0288193286255791,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",87,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.00589424647723357,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",88,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0363110239868749,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",89,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0234309344245591,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",90,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0115021398405319,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",91,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0238540639821203,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",92,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0395230215829561,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",93,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0313479871775795,FALSE,1000,"permutation_draw"
