"path","name","area","role","classification","registered_in_pipeline","declared_outputs","writes_publication_source_data","code_callers","test_references","listed_as_legacy","human_invoked_entrypoint","documented_in_docs"
"R/data_contracts/dataset_config.R","dataset_config.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,93,20,FALSE,FALSE,TRUE
"R/data_contracts/dataset_inputs.R","dataset_inputs.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,30,5,FALSE,FALSE,TRUE
"R/data_contracts/mapping_branch_utils.R","mapping_branch_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,3,1,FALSE,FALSE,TRUE
"R/data_contracts/module_contracts.R","module_contracts.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,15,8,FALSE,FALSE,TRUE
"R/data_contracts/protein_mapping_utils.R","protein_mapping_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,8,4,FALSE,FALSE,TRUE
"R/data_contracts/protigy_input_utils.R","protigy_input_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,8,2,FALSE,FALSE,TRUE
"R/data_contracts/protigy_stat_gct_utils.R","protigy_stat_gct_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,2,1,FALSE,FALSE,TRUE
"R/data_contracts/publication_freeze_utils.R","publication_freeze_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,3,2,FALSE,FALSE,TRUE
"R/data_contracts/spatial_systems_data_utils.R","spatial_systems_data_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,13,1,FALSE,FALSE,TRUE
"R/data_contracts/spatial_systems_endpoint_utils.R","spatial_systems_endpoint_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,3,1,FALSE,FALSE,TRUE
"R/data_contracts/spatial_systems_evidence_registry.R","spatial_systems_evidence_registry.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,3,1,FALSE,FALSE,TRUE
"R/enrichment/clusterprofiler_reproducibility.R","clusterprofiler_reproducibility.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,7,3,FALSE,FALSE,TRUE
"R/enrichment/enrichment_io.R","enrichment_io.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,19,6,FALSE,FALSE,TRUE
"R/enrichment/enrichment_plots.R","enrichment_plots.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,4,0,FALSE,FALSE,TRUE
"R/enrichment/ewce_contract_utils.R","ewce_contract_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,2,2,FALSE,FALSE,TRUE
"R/enrichment/ewce_gene_set_engine.R","ewce_gene_set_engine.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,7,3,FALSE,FALSE,TRUE
"R/enrichment/gsea_wgcna_concordance_diagnostic_utils.R","gsea_wgcna_concordance_diagnostic_utils.R","R","REUSABLE_LIBRARY","ACTIVE_SUPPORT",FALSE,0,FALSE,2,1,FALSE,FALSE,TRUE
